GeoID,CommunityID,Ward,CensusTract,ZipCode
1,1,49,17031010100,60626
2,1,49,17031010201,Null
3,1,49,17031010202,60626
4,1,49,17031010300,60626
5,1,49,17031010400,Null
6,1,49,17031010501,Null
7,1,49,17031010502,60626
8,1,49,17031010503,Null
9,1,49,17031010600,60626
10,1,49,17031010701,Null
11,1,49,17031010702,60626
12,2,49,17031020100,60645
13,2,50,17031020100,60645
14,2,50,17031020200,60645
15,2,50,17031020301,Null
16,2,50,17031020302,Null
17,2,50,17031020400,Null
18,2,50,17031020500,60659
19,2,50,17031020601,60659
20,2,50,17031020602,60659
21,2,40,17031020701,Null
22,2,50,17031020702,60659
23,2,40,17031020801,Null
24,2,40,17031020802,60659
25,2,50,17031020802,60659
26,2,40,17031020901,60659
27,2,50,17031020901,60659
28,2,40,17031020902,Null
29,77,48,17031030101,60660
30,77,48,17031030102,60660
31,77,48,17031030103,60660
32,77,48,17031030104,Null
33,77,48,17031030200,60660
34,77,40,17031030300,Null
35,77,40,17031030400,Null
36,77,48,17031030500,Null
37,77,48,17031030601,Null
38,77,48,17031030603,Null
39,77,48,17031030604,60660
40,77,48,17031030701,60660
41,77,48,17031030702,Null
42,77,48,17031030703,60640
43,77,48,17031030706,60640
44,77,48,17031030800,60640
45,77,40,17031030900,60640
46,3,40,17031031000,Null
47,3,47,17031031000,Null
48,3,46,17031031100,Null
49,3,47,17031031100,Null
50,3,46,17031031200,60640
51,3,48,17031031200,60640
52,3,46,17031031300,Null
53,3,48,17031031300,Null
54,3,46,17031031400,60640
55,3,46,17031031501,60640
56,3,46,17031031502,60640
57,3,46,17031031700,Null
58,3,47,17031031800,Null
59,3,47,17031031900,Null
60,3,46,17031032100,60613
61,4,40,17031040100,Null
62,4,40,17031040201,60625
63,4,40,17031040202,60625
64,4,40,17031040300,Null
65,4,40,17031040401,Null
66,4,47,17031040401,Null
67,4,40,17031040402,Null
68,4,47,17031040402,Null
69,4,47,17031040600,60625
70,4,40,17031040700,Null
71,4,47,17031040700,Null
72,4,47,17031040800,Null
73,4,47,17031040900,Null
74,5,47,17031050100,60618
75,5,47,17031050200,60618
76,5,47,17031050300,60618
77,5,47,17031050500,Null
78,5,47,17031050600,60613
79,5,32,17031050700,Null
80,5,47,17031050700,Null
81,5,32,17031050800,Null
82,5,47,17031050800,Null
83,5,32,17031050900,Null
84,5,47,17031050900,Null
85,5,32,17031051000,Null
86,5,47,17031051000,Null
87,5,32,17031051100,Null
88,5,32,17031051200,Null
89,5,47,17031051200,Null
90,5,32,17031051300,Null
91,5,1,17031051400,60618
92,5,32,17031051400,60618
93,6,47,17031060100,60613
94,6,47,17031060200,Null
95,6,47,17031060300,Null
96,6,44,17031060400,60613
97,6,47,17031060400,60613
98,6,44,17031060500,Null
99,6,46,17031060500,Null
100,6,47,17031060500,Null
101,6,46,17031060800,Null
102,6,46,17031060900,60613
103,6,44,17031061000,60613
104,6,46,17031061000,60613
105,6,44,17031061100,Null
106,6,44,17031061200,Null
107,6,44,17031061500,Null
108,6,46,17031061800,60657
109,6,44,17031061901,Null
110,6,46,17031061901,Null
111,6,44,17031061902,Null
112,6,46,17031061902,Null
113,6,44,17031062000,60657
114,6,44,17031062100,Null
115,6,44,17031062200,Null
116,6,44,17031062300,Null
117,6,44,17031062400,Null
118,6,47,17031062500,60657
119,6,32,17031062600,60657
120,6,32,17031062700,Null
121,6,32,17031062800,Null
122,6,44,17031062900,Null
123,6,44,17031063000,Null
124,6,44,17031063100,Null
125,6,44,17031063200,Null
126,6,44,17031063301,Null
127,6,44,17031063302,Null
128,6,44,17031063303,Null
129,6,44,17031063400,Null
130,7,43,17031070101,60614
131,7,43,17031070102,60614
132,7,43,17031070103,Null
133,7,43,17031070200,60614
134,7,43,17031070300,Null
135,7,43,17031070400,Null
136,7,2,17031070500,Null
137,7,32,17031070500,Null
138,7,43,17031070500,Null
139,7,2,17031070600,Null
140,7,32,17031070600,Null
141,7,1,17031070700,60614
142,7,32,17031070700,60614
143,7,43,17031071000,Null
144,7,43,17031071100,60614
145,7,43,17031071200,Null
146,7,43,17031071300,Null
147,7,43,17031071400,60614
148,7,2,17031071500,60614
149,7,27,17031071500,60614
150,7,43,17031071500,60614
151,7,43,17031071600,Null
152,7,2,17031071700,Null
153,7,43,17031071700,Null
154,7,2,17031071800,60614
155,7,43,17031071800,60614
156,8,43,17031080100,Null
157,8,2,17031080201,60610
158,8,2,17031080202,60610
159,8,2,17031080300,Null
160,8,27,17031080300,Null
161,8,2,17031080400,60610
162,8,27,17031080400,60610
163,8,2,17031081000,60610
164,8,27,17031081000,60610
165,8,2,17031081100,60610
166,8,2,17031081201,60610
167,8,42,17031081201,60610
168,8,2,17031081202,Null
169,8,42,17031081202,Null
170,8,43,17031081202,Null
171,8,2,17031081300,60611
172,8,2,17031081401,60611
173,8,42,17031081401,60611
174,8,42,17031081402,Null
175,8,42,17031081403,60611
176,8,42,17031081500,60611
177,8,2,17031081600,60610
178,8,42,17031081600,60610
179,8,2,17031081700,Null
180,8,42,17031081700,Null
181,8,2,17031081800,60654
182,8,27,17031081800,60654
183,8,42,17031081800,60654
184,8,27,17031081900,Null
185,8,42,17031081900,Null
186,9,41,17031090100,Null
187,9,41,17031090200,60631
188,9,41,17031090300,Null
189,10,39,17031100100,60646
190,10,45,17031100100,60646
191,10,41,17031100200,60646
192,10,41,17031100300,Null
193,10,41,17031100400,Null
194,10,41,17031100500,60656
195,10,41,17031100600,Null
196,10,45,17031100600,Null
197,10,41,17031100700,Null
198,10,45,17031100700,Null
199,11,39,17031110100,60630
200,11,45,17031110100,60630
201,11,45,17031110200,Null
202,11,45,17031110300,60630
203,11,45,17031110400,60630
204,11,45,17031110501,Null
205,11,45,17031110502,Null
206,12,39,17031120100,Null
207,12,41,17031120100,Null
208,12,39,17031120200,60646
209,12,41,17031120200,60646
210,12,39,17031120300,Null
211,12,39,17031120400,Null
212,12,45,17031120400,Null
213,13,39,17031130100,Null
214,13,50,17031130100,Null
